,A股代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期,交易所,板块
115,835508,殷图网联,50000000,26037500,2020-07-27,软件和信息技术服务业,北京市,2023-09-20,北交所,北交所
116,835640,富士达,187728000,175532911,2020-07-27,计算机、通信和其他电子设备制造业,陕西省,2023-09-20,北交所,北交所
117,835670,数字人,106182400,66408421,2020-12-08,软件和信息技术服务业,山东省,2023-09-20,北交所,北交所
118,835857,百甲科技,181263297,97028124,2023-03-14,土木工程建筑业,江苏省,2023-09-20,北交所,北交所
119,835892,中科美菱,96730934,27898177,2022-10-18,专用设备制造业,安徽省,2023-09-20,北交所,北交所
120,835985,海泰新能,309476200,134469079,2022-08-08,电气机械和器材制造业,河北省,2023-09-20,北交所,北交所
121,836077,吉林碳谷,587681817,162533502,2021-08-31,化学纤维制造业,吉林省,2023-09-20,北交所,北交所
122,836149,旭杰科技,73758000,47874941,2020-07-27,非金属矿物制品业,江苏省,2023-09-20,北交所,北交所
123,836208,青矩技术,68622656,11296997,2023-06-29,专业技术服务业,北京市,2023-09-20,北交所,北交所
124,836221,易实精密,96700000,25181800,2023-06-08,汽车制造业,江苏省,2023-09-20,北交所,北交所
125,836239,长虹能源,130053003,49714584,2021-02-09,电气机械和器材制造业,四川省,2023-09-20,北交所,北交所
126,836247,华密新材,93221400,23305600,2022-12-23,橡胶和塑料制品业,河北省,2023-09-20,北交所,北交所
127,836260,中寰股份,103550000,40964619,2021-11-15,仪器仪表制造业,四川省,2023-09-20,北交所,北交所
128,836263,中航泰达,139960000,101740513,2020-07-27,生态保护和环境治理业,北京市,2023-09-20,北交所,北交所
129,836270,天铭科技,87180000,22211200,2022-09-02,通用设备制造业,浙江省,2023-09-20,北交所,北交所
130,836395,朗鸿科技,91560000,27478364,2022-09-01,计算机、通信和其他电子设备制造业,浙江省,2023-09-20,北交所,北交所
131,836414,欧普泰,66673554,39482072,2022-12-12,专用设备制造业,上海市,2023-09-20,北交所,北交所
132,836419,万德股份,89258104,36593953,2023-09-15,化学原料和化学制品制造业,陕西省,2023-09-20,北交所,北交所
133,836422,润普食品,88482710,30594210,2023-03-01,食品制造业,江苏省,2023-09-20,北交所,北交所
134,836433,大唐药业,258790681,169132685,2020-07-27,医药制造业,内蒙古自治区,2023-09-20,北交所,北交所
135,836504,博迅生物,42500000,10985100,2023-08-17,仪器仪表制造业,上海市,2023-09-20,北交所,北交所
136,836675,秉扬科技,172198000,78294470,2020-12-28,非金属矿物制品业,四川省,2023-09-20,北交所,北交所
137,836699,海达尔,45625300,10425300,2023-05-09,金属制品业,江苏省,2023-09-20,北交所,北交所
138,836717,瑞星股份,114680000,28144000,2023-07-03,专用设备制造业,河北省,2023-09-20,北交所,北交所
139,836720,吉冈精密,189676400,50517278,2021-11-24,金属制品业,江苏省,2023-09-20,北交所,北交所
140,836807,奔朗新材,181880000,80125812,2022-12-20,非金属矿物制品业,广东省,2023-09-20,北交所,北交所
141,836826,盖世食品,117401587,50881241,2021-01-12,农副食品加工业,辽宁省,2023-09-20,北交所,北交所
142,836871,派特尔,73737616,21670648,2022-07-22,橡胶和塑料制品业,广东省,2023-09-20,北交所,北交所
143,836892,广咨国际,129054056,111291119,2021-10-28,专业技术服务业,广东省,2023-09-20,北交所,北交所
144,836942,恒立钻具,61327100,29252479,2022-12-08,专用设备制造业,湖北省,2023-09-20,北交所,北交所
145,836957,汉维科技,107301334,26825334,2022-12-14,化学原料和化学制品制造业,广东省,2023-09-20,北交所,北交所
146,837006,晟楠科技,90287200,24816000,2023-05-18,铁路、船舶、航空航天和其他运输设备制造业,江苏省,2023-09-20,北交所,北交所
147,837046,亿能电力,72250000,20561955,2022-10-13,电气机械和器材制造业,江苏省,2023-09-20,北交所,北交所
148,837092,汉鑫科技,47896000,24703696,2021-11-15,软件和信息技术服务业,山东省,2023-09-20,北交所,北交所
149,837174,宏裕包材,81333334,16266868,2023-08-18,橡胶和塑料制品业,湖北省,2023-09-20,北交所,北交所
150,837212,智新电子,106100000,52176500,2021-06-08,计算机、通信和其他电子设备制造业,山东省,2023-09-20,北交所,北交所
151,837242,建邦科技,62136000,33963225,2020-07-27,商务服务业,山东省,2023-09-20,北交所,北交所
152,837344,三元基因,121810000,113560796,2021-01-08,医药制造业,北京市,2023-09-20,北交所,北交所
153,837592,华信永道,62150000,14933976,2023-07-10,软件和信息技术服务业,北京市,2023-09-20,北交所,北交所
154,837663,明阳科技,51600000,12611890,2023-03-15,汽车制造业,江苏省,2023-09-20,北交所,北交所
155,837748,路桥信息,76740000,13436034,2023-08-16,软件和信息技术服务业,福建省,2023-09-20,北交所,北交所
156,837821,则成电子,70592806,18261093,2022-07-06,计算机、通信和其他电子设备制造业,广东省,2023-09-20,北交所,北交所
157,838030,德众汽车,178839681,94606645,2020-11-27,零售业,湖南省,2023-09-20,北交所,北交所
158,838163,方大新材,128368000,60852375,2020-07-27,橡胶和塑料制品业,河北省,2023-09-20,北交所,北交所
159,838171,邦德股份,118930000,51900498,2022-06-02,汽车制造业,山东省,2023-09-20,北交所,北交所
160,838227,美登科技,38941500,10537674,2022-12-28,软件和信息技术服务业,浙江省,2023-09-20,北交所,北交所
161,838262,太湖雪,53164758,15496928,2022-12-30,纺织业,江苏省,2023-09-20,北交所,北交所
162,838275,驱动力,160277600,90194394,2021-01-25,农副食品加工业,广东省,2023-09-20,北交所,北交所
163,838402,硅烷科技,324661590,91156654,2022-09-28,化学原料和化学制品制造业,河南省,2023-09-20,北交所,北交所
164,838670,恒进感应,134000000,66002900,2022-07-05,通用设备制造业,湖北省,2023-09-20,北交所,北交所
165,838701,豪声电子,98000000,19601000,2023-07-19,计算机、通信和其他电子设备制造业,浙江省,2023-09-20,北交所,北交所
166,838810,春光药装,68500000,25891646,2022-12-16,专用设备制造业,辽宁省,2023-09-20,北交所,北交所
167,838837,华原股份,151712787,41732787,2023-05-15,汽车制造业,广西壮族自治区,2023-09-20,北交所,北交所
168,838924,广脉科技,83000000,49062111,2021-11-03,软件和信息技术服务业,浙江省,2023-09-20,北交所,北交所
169,838971,天马新材,106128002,32071077,2022-09-27,非金属矿物制品业,河南省,2023-09-20,北交所,北交所
170,839167,同享科技,109320000,65107500,2020-07-27,有色金属冶炼和压延加工业,江苏省,2023-09-20,北交所,北交所
171,839273,一致魔芋,73754000,26415000,2023-02-21,食品制造业,湖北省,2023-09-20,北交所,北交所
172,839371,欧福蛋业,205445536,53107633,2023-01-18,农副食品加工业,江苏省,2023-09-20,北交所,北交所
173,839680,广道数字,66999900,40930077,2021-11-15,软件和信息技术服务业,广东省,2023-09-20,北交所,北交所
174,839719,宁新新材,93093400,45572892,2023-05-26,非金属矿物制品业,江西省,2023-09-20,北交所,北交所
175,839725,惠丰钻石,92300000,26404000,2022-07-18,非金属矿物制品业,河南省,2023-09-20,北交所,北交所
176,839729,永顺生物,273350000,80244567,2020-07-27,医药制造业,广东省,2023-09-20,北交所,北交所
177,839790,联迪信息,78967020,35551998,2022-09-02,软件和信息技术服务业,江苏省,2023-09-20,北交所,北交所
178,839792,东和新材,165540000,52214291,2023-03-30,非金属矿物制品业,辽宁省,2023-09-20,北交所,北交所
179,839946,华阳变速,134990443,99650000,2021-07-20,汽车制造业,湖北省,2023-09-20,北交所,北交所
180,870199,倍益康,68109800,17029400,2022-12-01,专用设备制造业,四川省,2023-09-20,北交所,北交所
181,870204,沪江材料,72529075,38377543,2022-01-18,橡胶和塑料制品业,江苏省,2023-09-20,北交所,北交所
182,870299,灿能电力,90109276,27138054,2022-06-10,仪器仪表制造业,江苏省,2023-09-20,北交所,北交所
183,870357,雅葆轩,80080000,23201490,2022-11-18,计算机、通信和其他电子设备制造业,安徽省,2023-09-20,北交所,北交所
184,870436,大地电气,94476000,44679750,2021-11-15,汽车制造业,江苏省,2023-09-20,北交所,北交所
185,870508,丰安股份,62240000,26116461,2022-12-16,通用设备制造业,浙江省,2023-09-20,北交所,北交所
186,870726,鸿智科技,41739130,9652174,2023-08-08,电气机械和器材制造业,广东省,2023-09-20,北交所,北交所
187,870866,绿亨科技,180205900,54967530,2022-12-09,化学原料和化学制品制造业,广东省,2023-09-20,北交所,北交所
188,870976,视声智能,50681000,17779000,2023-09-01,计算机、通信和其他电子设备制造业,广东省,2023-09-20,北交所,北交所
189,871245,威博液压,48750000,22755026,2022-01-06,通用设备制造业,江苏省,2023-09-20,北交所,北交所
190,871396,常辅股份,58590280,38883811,2020-11-18,仪器仪表制造业,江苏省,2023-09-20,北交所,北交所
191,871478,巨能股份,76479097,19800000,2023-05-12,专用设备制造业,宁夏回族自治区,2023-09-20,北交所,北交所
192,871553,凯腾精工,143690460,92621218,2021-08-06,专用设备制造业,北京市,2023-09-20,北交所,北交所
193,871634,新威凌,62322000,15493920,2022-11-24,金属制品业,湖南省,2023-09-20,北交所,北交所
194,871642,通易航天,103670278,54815158,2021-08-16,橡胶和塑料制品业,江苏省,2023-09-20,北交所,北交所
195,871694,中裕科技,100478500,20305141,2023-04-24,橡胶和塑料制品业,江苏省,2023-09-20,北交所,北交所
196,871753,天纺标,81404368,17962000,2022-10-31,专业技术服务业,天津市,2023-09-20,北交所,北交所
197,871857,泓禧科技,74007152,74007152,2022-02-28,计算机、通信和其他电子设备制造业,重庆市,2023-09-20,北交所,北交所
198,871970,大禹生物,111360400,52704400,2022-05-18,食品制造业,山西省,2023-09-20,北交所,北交所
199,871981,晶赛科技,76468000,38999590,2021-11-15,计算机、通信和其他电子设备制造业,安徽省,2023-09-20,北交所,北交所
200,872190,雷神科技,100000001,52541864,2022-12-23,计算机、通信和其他电子设备制造业,山东省,2023-09-20,北交所,北交所
201,872351,华光源海,91135439,38360439,2022-12-29,装卸搬运和运输代理业,湖南省,2023-09-20,北交所,北交所
202,872374,云里物里,81518000,30294202,2022-11-29,计算机、通信和其他电子设备制造业,广东省,2023-09-20,北交所,北交所
203,872392,佳合科技,58700000,15132400,2022-12-30,造纸和纸制品业,江苏省,2023-09-20,北交所,北交所
204,872541,XD铁大科,136700000,53520584,2023-03-10,铁路、船舶、航空航天和其他运输设备制造业,上海市,2023-09-20,北交所,北交所
205,872808,曙光数创,200000001,68686290,2022-11-18,通用设备制造业,北京市,2023-09-20,北交所,北交所
206,872895,花溪科技,56524000,12985400,2023-04-06,专用设备制造业,河南省,2023-09-20,北交所,北交所
207,872925,锦好医疗,98071643,55295053,2021-10-25,专用设备制造业,广东省,2023-09-20,北交所,北交所
208,872953,国子软件,88582400,21514200,2023-08-23,软件和信息技术服务业,山东省,2023-09-20,北交所,北交所
209,873001,纬达光电,153656204,38424151,2022-12-27,计算机、通信和其他电子设备制造业,广东省,2023-09-20,北交所,北交所
210,873122,中纺标,92437108,10642500,2022-09-27,专业技术服务业,北京市,2023-09-20,北交所,北交所
211,873152,天宏锂电,102650665,38891612,2023-01-19,电气机械和器材制造业,浙江省,2023-09-20,北交所,北交所
212,873167,新赣江,70861250,19647450,2023-02-09,医药制造业,江西省,2023-09-20,北交所,北交所
213,873169,七丰精工,82714690,47888990,2022-04-15,通用设备制造业,浙江省,2023-09-20,北交所,北交所
214,873223,荣亿精密,157285000,80163750,2022-06-09,通用设备制造业,浙江省,2023-09-20,北交所,北交所
215,873305,九菱科技,44819000,11215367,2022-12-21,金属制品业,湖北省,2023-09-20,北交所,北交所
216,873339,恒太照明,220203800,59574207,2022-11-17,电气机械和器材制造业,江苏省,2023-09-20,北交所,北交所
217,873527,夜光明,60042700,25821664,2022-10-27,化学原料和化学制品制造业,浙江省,2023-09-20,北交所,北交所
218,873576,天力复合,108950000,29817250,2023-07-12,有色金属冶炼和压延加工业,陕西省,2023-09-20,北交所,北交所
219,873593,鼎智科技,48022039,17965261,2023-04-13,电气机械和器材制造业,江苏省,2023-09-20,北交所,北交所
