,A股代码,证券简称,证券全称,上市日期,板块,B股代码,交易所
76,600105,永鼎股份,江苏永鼎股份有限公司,1997-09-29,主板A股,,上交所
77,600106,重庆路桥,重庆路桥股份有限公司,1997-06-18,主板A股,,上交所
78,600107,美尔雅,湖北美尔雅股份有限公司,1997-11-06,主板A股,,上交所
79,600108,亚盛集团,甘肃亚盛实业(集团)股份有限公司,1997-08-18,主板A股,,上交所
80,600109,国金证券,国金证券股份有限公司,1997-08-07,主板A股,,上交所
81,600110,诺德股份,诺德新材料股份有限公司,1997-10-07,主板A股,,上交所
82,600111,北方稀土,中国北方稀土(集团)高科技股份有限公司,1997-09-24,主板A股,,上交所
83,600112,ST天成,贵州长征天成控股股份有限公司,1997-11-27,主板A股,,上交所
84,600113,浙江东日,浙江东日股份有限公司,1997-10-21,主板A股,,上交所
85,600114,东睦股份,东睦新材料集团股份有限公司,2004-05-11,主板A股,,上交所
86,600115,中国东航,中国东方航空股份有限公司,1997-11-05,主板A股,,上交所
87,600116,三峡水利,重庆三峡水利电力(集团)股份有限公司,1997-08-04,主板A股,,上交所
88,600117,*ST西钢,西宁特殊钢股份有限公司,1997-10-15,主板A股,,上交所
89,600118,中国卫星,中国东方红卫星股份有限公司,1997-09-08,主板A股,,上交所
90,600119,长江投资,长发集团长江投资实业股份有限公司,1998-01-15,主板A股,,上交所
91,600120,浙江东方,浙江东方金融控股集团股份有限公司,1997-12-01,主板A股,,上交所
92,600121,郑州煤电,郑州煤电股份有限公司,1998-01-07,主板A股,,上交所
93,600123,兰花科创,山西兰花科技创业股份有限公司,1998-12-17,主板A股,,上交所
94,600125,铁龙物流,中铁铁龙集装箱物流股份有限公司,1998-05-11,主板A股,,上交所
95,600126,杭钢股份,杭州钢铁股份有限公司,1998-03-11,主板A股,,上交所
96,600127,金健米业,金健米业股份有限公司,1998-05-06,主板A股,,上交所
97,600128,苏豪弘业,苏豪弘业股份有限公司,1997-09-01,主板A股,,上交所
98,600129,太极集团,重庆太极实业(集团)股份有限公司,1997-11-18,主板A股,,上交所
99,600130,波导股份,宁波波导股份有限公司,2000-07-06,主板A股,,上交所
100,600131,国网信通,国网信息通信股份有限公司,1998-04-02,主板A股,,上交所
101,600132,重庆啤酒,重庆啤酒股份有限公司,1997-10-30,主板A股,,上交所
102,600133,东湖高新,武汉东湖高新集团股份有限公司,1998-02-12,主板A股,,上交所
103,600135,乐凯胶片,乐凯胶片股份有限公司,1998-01-22,主板A股,,上交所
104,600136,*ST明诚,武汉当代明诚文化体育集团股份有限公司,1998-03-03,主板A股,,上交所
105,600137,浪莎股份,四川浪莎控股股份有限公司,1998-04-16,主板A股,,上交所
106,600138,中青旅,中青旅控股股份有限公司,1997-12-03,主板A股,,上交所
107,600141,兴发集团,湖北兴发化工集团股份有限公司,1999-06-16,主板A股,,上交所
108,600143,金发科技,金发科技股份有限公司,2004-06-23,主板A股,,上交所
109,600148,长春一东,长春一东离合器股份有限公司,1998-05-20,主板A股,,上交所
110,600149,廊坊发展,廊坊发展股份有限公司,1999-10-14,主板A股,,上交所
111,600150,中国船舶,中国船舶工业股份有限公司,1998-05-20,主板A股,,上交所
112,600151,航天机电,上海航天汽车机电股份有限公司,1998-06-05,主板A股,,上交所
113,600152,维科技术,维科技术股份有限公司,1998-06-09,主板A股,,上交所
114,600153,建发股份,厦门建发股份有限公司,1998-06-16,主板A股,,上交所
115,600155,华创云信,华创云信数字技术股份有限公司,1998-09-18,主板A股,,上交所
116,600156,华升股份,湖南华升股份有限公司,1998-05-27,主板A股,,上交所
117,600157,永泰能源,永泰能源集团股份有限公司,1998-05-13,主板A股,,上交所
118,600158,中体产业,中体产业集团股份有限公司,1998-03-27,主板A股,,上交所
119,600159,大龙地产,北京市大龙伟业房地产开发股份有限公司,1998-05-26,主板A股,,上交所
120,600160,巨化股份,浙江巨化股份有限公司,1998-06-26,主板A股,,上交所
121,600161,天坛生物,北京天坛生物制品股份有限公司,1998-06-16,主板A股,,上交所
122,600162,香江控股,深圳香江控股股份有限公司,1998-06-09,主板A股,,上交所
123,600163,中闽能源,中闽能源股份有限公司,1998-06-02,主板A股,,上交所
124,600165,宁科生物,宁夏中科生物科技股份有限公司,1998-05-29,主板A股,,上交所
125,600166,福田汽车,北汽福田汽车股份有限公司,1998-06-02,主板A股,,上交所
126,600167,联美控股,联美量子股份有限公司,1999-01-28,主板A股,,上交所
127,600168,武汉控股,武汉三镇实业控股股份有限公司,1998-04-27,主板A股,,上交所
128,600169,太原重工,太原重工股份有限公司,1998-09-04,主板A股,,上交所
129,600170,上海建工,上海建工集团股份有限公司,1998-06-23,主板A股,,上交所
130,600171,上海贝岭,上海贝岭股份有限公司,1998-09-24,主板A股,,上交所
131,600172,黄河旋风,河南黄河旋风股份有限公司,1998-11-26,主板A股,,上交所
132,600173,卧龙地产,卧龙资源集团股份有限公司,1999-04-15,主板A股,,上交所
133,600176,中国巨石,中国巨石股份有限公司,1999-04-22,主板A股,,上交所
134,600177,雅戈尔,雅戈尔集团股份有限公司,1998-11-19,主板A股,,上交所
135,600178,东安动力,哈尔滨东安汽车动力股份有限公司,1998-10-14,主板A股,,上交所
136,600179,安通控股,安通控股股份有限公司,1998-11-04,主板A股,,上交所
137,600180,瑞茂通,瑞茂通供应链管理股份有限公司,1998-07-03,主板A股,,上交所
138,600182,S佳通,佳通轮胎股份有限公司,1999-05-07,主板A股,,上交所
139,600183,生益科技,广东生益科技股份有限公司,1998-10-28,主板A股,,上交所
140,600184,光电股份,北方光电股份有限公司,2003-11-06,主板A股,,上交所
141,600185,格力地产,格力地产股份有限公司,1999-06-11,主板A股,,上交所
142,600186,莲花健康,莲花健康产业集团股份有限公司,1998-08-25,主板A股,,上交所
143,600187,国中水务,黑龙江国中水务股份有限公司,1998-11-11,主板A股,,上交所
144,600188,兖矿能源,兖矿能源集团股份有限公司,1998-07-01,主板A股,,上交所
145,600189,泉阳泉,吉林泉阳泉股份有限公司,1998-10-07,主板A股,,上交所
146,600190,锦州港,锦州港股份有限公司,1999-06-09,主板A股,,上交所
147,600191,华资实业,包头华资实业股份有限公司,1998-12-10,主板A股,,上交所
148,600192,长城电工,兰州长城电工股份有限公司,1998-12-24,主板A股,,上交所
149,600193,创兴资源,上海创兴资源开发股份有限公司,1999-05-27,主板A股,,上交所
150,600195,中牧股份,中牧实业股份有限公司,1999-01-07,主板A股,,上交所
151,600196,复星医药,上海复星医药(集团)股份有限公司,1998-08-07,主板A股,,上交所
152,600197,伊力特,新疆伊力特实业股份有限公司,1999-09-16,主板A股,,上交所
153,600198,大唐电信,大唐电信科技股份有限公司,1998-10-21,主板A股,,上交所
154,600199,金种子酒,安徽金种子酒业股份有限公司,1998-08-12,主板A股,,上交所
155,600200,江苏吴中,江苏吴中医药发展股份有限公司,1999-04-01,主板A股,,上交所
156,600201,生物股份,金宇生物技术股份有限公司,1999-01-15,主板A股,,上交所
157,600202,哈空调,哈尔滨空调股份有限公司,1999-06-03,主板A股,,上交所
158,600203,福日电子,福建福日电子股份有限公司,1999-05-14,主板A股,,上交所
159,600206,有研新材,有研新材料股份有限公司,1999-03-19,主板A股,,上交所
160,600207,安彩高科,河南安彩高科股份有限公司,1999-07-14,主板A股,,上交所
161,600208,新湖中宝,新湖中宝股份有限公司,1999-06-23,主板A股,,上交所
162,600210,紫江企业,上海紫江企业集团股份有限公司,1999-08-24,主板A股,,上交所
163,600211,西藏药业,西藏诺迪康药业股份有限公司,1999-07-21,主板A股,,上交所
164,600212,绿能慧充,绿能慧充数字能源技术股份有限公司,1999-08-17,主板A股,,上交所
165,600213,亚星客车,扬州亚星客车股份有限公司,1999-08-31,主板A股,,上交所
166,600215,派斯林,派斯林数字科技股份有限公司,1999-09-09,主板A股,,上交所
167,600216,浙江医药,浙江医药股份有限公司,1999-10-21,主板A股,,上交所
168,600217,中再资环,中再资源环境股份有限公司,1999-12-16,主板A股,,上交所
169,600218,全柴动力,安徽全柴动力股份有限公司,1998-12-03,主板A股,,上交所
170,600219,南山铝业,山东南山铝业股份有限公司,1999-12-23,主板A股,,上交所
171,600220,江苏阳光,江苏阳光股份有限公司,1999-09-27,主板A股,,上交所
172,600221,海航控股,海南航空控股股份有限公司,1999-11-25,主板A股,,上交所
173,600222,太龙药业,河南太龙药业股份有限公司,1999-11-05,主板A股,,上交所
174,600223,福瑞达,鲁商福瑞达医药股份有限公司,2000-01-13,主板A股,,上交所
175,600225,卓朗科技,天津卓朗信息科技股份有限公司,2000-01-27,主板A股,,上交所
176,600226,瀚叶股份,浙江瀚叶股份有限公司,1999-11-16,主板A股,,上交所
177,600227,赤天化,贵州赤天化股份有限公司,2000-02-21,主板A股,,上交所
178,600228,返利科技,返利网数字科技股份有限公司,1999-01-19,主板A股,,上交所
179,600229,城市传媒,青岛城市传媒股份有限公司,2000-03-09,主板A股,,上交所
180,600230,沧州大化,沧州大化股份有限公司,2000-04-06,主板A股,,上交所
181,600231,凌钢股份,凌源钢铁股份有限公司,2000-05-11,主板A股,,上交所
182,600232,金鹰股份,浙江金鹰股份有限公司,2000-06-02,主板A股,,上交所
183,600233,圆通速递,圆通速递股份有限公司,2000-06-08,主板A股,,上交所
184,600234,科新发展,山西科新发展股份有限公司,2000-06-15,主板A股,,上交所
185,600235,民丰特纸,民丰特种纸股份有限公司,2000-06-15,主板A股,,上交所
186,600236,桂冠电力,广西桂冠电力股份有限公司,2000-03-23,主板A股,,上交所
187,600237,铜峰电子,安徽铜峰电子股份有限公司,2000-06-09,主板A股,,上交所
188,600238,海南椰岛,海南椰岛(集团)股份有限公司,2000-01-20,主板A股,,上交所
189,600239,云南城投,云南城投置业股份有限公司,1999-12-02,主板A股,,上交所
190,600241,时代万恒,辽宁时代万恒股份有限公司,2000-11-28,主板A股,,上交所
191,600243,青海华鼎,青海华鼎实业股份有限公司,2000-11-20,主板A股,,上交所
192,600246,万通发展,北京万通新发展集团股份有限公司,2000-09-22,主板A股,,上交所
193,600248,陕建股份,陕西建工集团股份有限公司,2000-06-22,主板A股,,上交所
194,600249,两面针,柳州两面针股份有限公司,2004-01-30,主板A股,,上交所
195,600250,南纺股份,南京纺织品进出口股份有限公司,2001-03-06,主板A股,,上交所
196,600251,冠农股份,新疆冠农股份有限公司,2003-06-09,主板A股,,上交所
197,600252,中恒集团,广西梧州中恒集团股份有限公司,2000-11-30,主板A股,,上交所
198,600255,鑫科材料,安徽鑫科新材料股份有限公司,2000-11-22,主板A股,,上交所
199,600256,广汇能源,广汇能源股份有限公司,2000-05-26,主板A股,,上交所
200,600257,大湖股份,大湖水殖股份有限公司,2000-06-12,主板A股,,上交所
201,600258,首旅酒店,北京首旅酒店(集团)股份有限公司,2000-06-01,主板A股,,上交所
202,600259,广晟有色,广晟有色金属股份有限公司,2000-05-25,主板A股,,上交所
203,600261,阳光照明,浙江阳光照明电器集团股份有限公司,2000-07-20,主板A股,,上交所
204,600262,北方股份,内蒙古北方重型汽车股份有限公司,2000-06-30,主板A股,,上交所
205,600265,ST景谷,云南景谷林业股份有限公司,2000-08-25,主板A股,,上交所
206,600266,城建发展,北京城建投资发展股份有限公司,1999-02-03,主板A股,,上交所
207,600267,海正药业,浙江海正药业股份有限公司,2000-07-25,主板A股,,上交所
208,600268,国电南自,国电南京自动化股份有限公司,1999-11-18,主板A股,,上交所
209,600269,赣粤高速,江西赣粤高速公路股份有限公司,2000-05-18,主板A股,,上交所
210,600271,航天信息,航天信息股份有限公司,2003-07-11,主板A股,,上交所
211,600272,开开实业,上海开开实业股份有限公司,2001-02-28,主板A股,,上交所
212,600273,XD嘉化能,浙江嘉化能源化工股份有限公司,2003-06-27,主板A股,,上交所
213,600276,恒瑞医药,江苏恒瑞医药股份有限公司,2000-10-18,主板A股,,上交所
214,600277,亿利洁能,亿利洁能股份有限公司,2000-07-25,主板A股,,上交所
215,600278,东方创业,东方国际创业股份有限公司,2000-07-12,主板A股,,上交所
216,600279,重庆港,重庆港股份有限公司,2000-07-31,主板A股,,上交所
217,600280,中央商场,南京中央商场(集团)股份有限公司,2000-09-26,主板A股,,上交所
218,600281,华阳新材,山西华阳新材料股份有限公司,2000-11-09,主板A股,,上交所
219,600282,南钢股份,南京钢铁股份有限公司,2000-09-19,主板A股,,上交所
220,600283,钱江水利,钱江水利开发股份有限公司,2000-10-18,主板A股,,上交所
221,600284,浦东建设,上海浦东建设股份有限公司,2004-03-16,主板A股,,上交所
222,600285,羚锐制药,河南羚锐制药股份有限公司,2000-10-18,主板A股,,上交所
223,600287,江苏舜天,江苏舜天股份有限公司,2000-09-01,主板A股,,上交所
224,600288,大恒科技,大恒新纪元科技股份有限公司,2000-11-29,主板A股,,上交所
